Agent;Agent_Type;Chosen_Action;Performance_Score;Epoch
4303355905;rational;Attack;14.5;1
4296278017;rational;Attack;10.5;1
4299685889;rational;Attack;-5.0;1
4303880193;attacker;Attack;14.5;1
4294967297;greedy;Attack;-4.5;1
4298375169;rational;Attack;11.0;2
4299948033;rational;Attack;-4.5;2
4301258753;greedy;Attack;-5.0;2
4299685889;attacker;Attack;-5.0;2
4301783041;greedy;Attack;11.0;2
4296278017;runner;Flee;11.0;2
4300210177;greedy;Attack;-4.5;2
4302307329;runner;Flee;11.0;2
4297850881;rational;Attack;-4.5;2
4294967297;greedy;Attack;-5.0;2
4303880193;greedy;Attack;15.0;2
4296802305;runner;Flee;11.0;2
4296540161;attacker;Attack;-5.0;2
4303355905;attacker;Attack;15.0;2
4302569473;attacker;Attack;15.0;2
4298637313;rational;Attack;11.0;2
4297588737;rational;Attack;15.0;2
4302045185;rational;Attack;15.0;2
4295491585;rational;Attack;-4.0;2
4302831617;greedy;Attack;11.0;2
4295753729;greedy;Attack;15.0;2
4297064449;greedy;Attack;11.0;2
4295229441;runner;Flee;11.0;2
4300472321;rational;Attack;11.0;2
4302307329;rational;Flee;-4.0;3
4300472321;rational;Flee;11.0;3
4295229441;greedy;Flee;11.0;3
4297064449;greedy;Flee;11.0;3
4298637313;greedy;Flee;11.0;3
4296540161;rational;Flee;-1.5;3
4300210177;attacker;Attack;-5.0;3
4298375169;runner;Flee;11.0;3
4297588737;greedy;Flee;-4.0;3
4301783041;greedy;Flee;11.0;3
4295753729;greedy;Flee;11.0;3
4301258753;greedy;Flee;11.0;3
4296802305;runner;Flee;-3.5;3
4302831617;rational;Flee;-4.0;3
4299948033;rational;Flee;-3.5;3
4295491585;rational;Flee;-3.5;3
4303355905;attacker;Attack;11.0;3
4296278017;rational;Flee;11.0;3
4302569473;attacker;Attack;-4.5;3
4297850881;runner;Flee;-3.0;3
4303880193;runner;Flee;11.0;3
4294967297;greedy;Flee;-4.5;3
4299685889;attacker;Attack;-5.0;3
4302045185;rational;Flee;11.0;3
4297850881;attacker;Attack;15.5;4
4300210177;rational;Attack;-4.5;4
4301783041;greedy;Attack;15.5;4
4296278017;runner;Flee;11.5;4
4297588737;runner;Flee;-4.0;4
4299948033;greedy;Attack;-5.0;4
4300472321;greedy;Attack;11.5;4
4303355905;greedy;Attack;-4.0;4
4302569473;greedy;Attack;15.5;4
4299685889;greedy;Attack;-5.0;4
4297064449;attacker;Attack;11.5;4
4302831617;rational;Attack;11.5;4
4295229441;rational;Attack;15.5;4
4294967297;rational;Attack;-5.0;4
4302307329;attacker;Attack;15.5;4
4296540161;rational;Attack;-4.5;4
4295491585;rational;Attack;15.5;4
4303880193;rational;Attack;-4.0;4
4302045185;runner;Flee;-4.0;4
4301258753;rational;Attack;-5.0;4
4298375169;runner;Flee;11.5;4
4295753729;greedy;Attack;15.5;4
4296802305;greedy;Attack;15.5;4
4298637313;attacker;Attack;11.5;4
4294967297;rational;Flee;-4.5;5
4295753729;greedy;Flee;11.5;5
